features,model,mae,rmse,r2
P (HR only),Ridge,1.4455589513766505,2.2769862158267635,0.304455040807723
P (HR only),RandomForest,1.469861438974881,2.3502298408175557,0.2589882801807111
P (HR only),GradBoost,1.6484629499942163,2.584337447112162,0.10401065406967536
P (HR only),XGBoost,1.6178556826259152,2.5237469716097722,0.14553156100896802
P (HR only),LightGBM,1.4539626224321804,2.371566081594694,0.24547286096828624
WEAR,Ridge,1.061839739584211,1.7010275890223636,0.6118253952679502
WEAR,RandomForest,1.2052629614854593,1.8020717454505182,0.564339125064979
WEAR,GradBoost,1.275079726685327,1.8699687314827838,0.5308917253349078
WEAR,XGBoost,1.2274384526050452,1.817124410307051,0.5570305970056411
WEAR,LightGBM,1.3252906035431833,1.9582932882126984,0.48553021295793997
LAB+WEAR,Ridge,1.02686934609271,1.6888885880231046,0.6173458685341318
LAB+WEAR,RandomForest,1.190044017651374,1.7743708005293986,0.5776298980756014
LAB+WEAR,GradBoost,1.1886538820642232,1.7988279067439252,0.565906145553944
LAB+WEAR,XGBoost,1.1839717940850694,1.745725511285959,0.5911572304952197
LAB+WEAR,LightGBM,1.2379282185118645,1.8702099190744976,0.53077070684975
