feature,importance_mean,importance_std
hrv_lf_log,0.9694254332738612,0.12038796568805812
speed_pct_max,0.7482282320234767,0.08924821413961372
hr_cum,0.6032781422885025,0.06772293663949604
hrv_hf_log,0.5967560405231761,0.06793772821484041
ci,0.4702699746704535,0.04784461730566294
hr,0.1940923208042234,0.02756784411042904
stage_idx,0.1897153040525908,0.02698082053751597
ve_pct_max,0.17270673049677468,0.02657199776399038
bf,0.15756393118601641,0.026904312374382913
vo2_pct_max,0.1533371600138848,0.02521247322939133
rer,0.15152374044717717,0.028380334738559644
hr_pct_max,0.1513151924840275,0.02580252218750352
vco2,0.14946901264513535,0.022467404192458046
speed_dt,0.14394190599665685,0.02227539266369874
vo2_dt,0.11851255341864077,0.02218045138336875
vo2_rmean,0.10770821979709394,0.017994123940960737
step,0.08942775979040743,0.019265677480624688
hrv_lf_dt,0.061849126783595325,0.011782888059362904
br_pct,0.06117797125460499,0.012541123104269164
rer_rmean,0.06094179519287039,0.013442575514665593
hr_rmean,0.05760385544341207,0.012757649096919784
ee,0.054744566008540815,0.011888583838515907
ve_log,0.054647937386535055,0.012041717159681583
ve,0.030371384786311042,0.009762081592238566
swing,0.027571811934131572,0.009265126194201017
contact,0.023348533306792364,0.009186855855861804
hrv_hf_dt,0.022790098583177303,0.006742564937473406
vo2_log,0.01997606392281298,0.006558814980223521
vo2_cum,0.019266810587607288,0.007508336155297654
rer_dt,0.01600336460198457,0.006087351769020626
ee_cum,0.01255806361705217,0.005948060717941088
vo2,0.012265291343943944,0.005345260556476577
vco2_log,0.008663546490704636,0.004524193689219857
congait,0.008630034412595085,0.00434815039380348
vt_log,0.008445166513731258,0.003994949326545742
speed_cum,0.005473035005396935,0.004016135085433947
hr_dt,0.004261227337314758,0.0037652703626507734
ve_dt,0.0014471085182901336,0.002235089533146547
ee_log,0.00097692989537016,0.0014504313904574987
speed,0.0004710774349055202,0.0009584412535645384
gait,0.00036484264738827487,0.0008180193453465015
bf_dt,0.00013927323445440306,0.00044678372713487203
vt,4.731009025194706e-05,0.00042105562100646623
